FRESATITAN      EQUIP: REF 042  Fressadora BIOMILL          DATA:  2025                    1020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data;Hora i tècnic preparació;Punxat       (Tècnic);Hora i tècnic     acabat;Hora i tècnic preparació;Punxat       (Tècnic);Hora i tècnic     acabat;Hora i tècnic preparació;Punxat       (Tècnic);Hora i tècnic      acabat;Hora i tècnic preparació;Punxat       (Tècnic);Hora i tècnic      acabat;Hora i tècnic preparació;Punxat       (Tècnic);Hora i tècnic      acabat;incidències 1;incidències 2;incidències 3;TOTAL US;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/03/2025;9:23 Andrea/ Rosalia;????;16:48 Pol OK;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MARÇ 25;;;;;;;;;;;;;;;;;;Març 25;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/04/2025;8:00 Andrea;Andrea;12:30 Gerard;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/04/2025;7:55 Andrea;Andrea;Andrea OK;12:00 Gerard;Gerard;17:12 Pol;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/04/2025;8:21 Andrea;Andrea;11:12 Andrea;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/04/2025;8:15 Andrea;Andrea;11:05 Gerard;12:45 Gerard;Gerard;14:45 Gerard;14:45 Gerard;Gerard;17:00 Gerard;17:00 Gerard;Gerard;18:00 Rosalia;20:00 Gerard;Gerard;9:00 Pol;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/04/2025;14:00 Gerard;Gerard;16:30 Gerard;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/04/2025;18:00 Gerard;Gerard;9:00 Toni;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/04/2025;13:00 Gerard;Gerard;9:00 Toni;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/04/2025;12:00 Gerard;Toni;15:43 Gerard;15:45 Gerard;Gerard;16:45 Pol;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/04/2025;14:30 Gerard;Gerard;17:20 Pol;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/04/2025;8:35 Rosalia;Rosalia;10:50 Rosalia;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/04/2025;8:30 Andrea/Rosalia;Rosalia/Andrea;12:30 Gerard;16:30 Gerard;Gerard;????;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/04/2025;11:07 Gerard/Pol;Gerard/Pol;14:45 Gerard;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/04/2025;13:30 Gerard;Gerard;16:00 Gerard;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/04/2025;9:30 Rosalia;Rosalia;12:30 Gerard;12:30 Gerard;Gerard;17:30 Gerard;18:00 Gerard;Gerard;????;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25/04/2025;10:15 Andrea/Rosalia;Rosalia/Andrea14:30 Gerard;;14:30 Gerard;Gerard;16:00 Gerard;18:00 Gerard;Gerard;19:00 Gerard;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/04/2025;12:00 Gerard;Gerard;14:00 Gerard;15:15 Gerard;Gerard;????;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABRIL 25;;;;;;;;;;;;;;;;;;Abril 25;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data;Hora preparació;Tècnic preparació;Hora acabat ;Tècnic     acabat;Hora preparació;Tècnic preparació;Hora acabat;Tècnic acabat ;Hora preparació;Tècnic preparació;Hora acabat;Tècnic acabat;Hora preparació;Tècnic preparació;Hora acabat;Tècnicacabat;Hora preparació;Tècnic preparació;Hora acabat;Tècnic     acabat;Hora preparació;Tècnic preparació;Hora acabat ;Tècnic     acabat;Hora preparació;Tècnic preparació;Hora acabat;Tècnic     acabat;Hora preparació;Tècnic preparació;Hora acabat;Tècnic acabat;Hora preparació;Tècnic preparació;Hora acabat;Tècnic acabat;Hora preparació;Tècnic preparació;Hora acabat;Tècnic acabat;Hora preparació;Tècnic preparació;Hora acabat;Tècnic acabat;Hora preparació;Tècnic preparació;Hora acabat;Tècnic acabat;Hora preparació;Tècnic preparació;Hora acabat;Tècnic acabat;Hora  preparació;Tècnic preparació;Hora acabat;Tècnic acabat;Hora  preparació;Tècnic preparació;Hora acabat;Tècnic     acabat;Hora  preparació;Tècnic preparació;Hora acabat;Tècnic     acabat;Hora  preparació;Tècnic preparació;Hora acabat;Tècnic     acabat;Hora  preparació;Tècnic preparació;Hora acabat;Tècnic     acabat;;total
02/05/2025;13:00;Pol;13:38;Pol;12:00;Gerard;14:00;Gerard;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
05/05/2025;11:00;Gerard;11:30;Gerard;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
06/05/2025;11:30;Gerard;12:30;Oscar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
